farm_id,region,date,location_lat,location_lon,crop_name,previous_crop,sowing_date,harvest_date,yield_ton_per_acre,area_acre,season,month,rainfall_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_mps,forecast_rainfall_mm_7d,forecast_temp_max_c_7d,forecast_temp_min_c_7d,rolling_rain_7d,rolling_rain_30d,heat_stress_days_30d,growing_degree_days,rainfall_anomaly,spi_index,nitrogen,phosphorus,potassium,soil_ph,organic_carbon,npk_ratio,soil_fertility_score,monocrop_count,drought_risk_label,flood_risk_label
37,Rajasthan,2022-03-08,27.3037,75.8008,maize,cotton,2022-03-08,2022-09-01,5.47,0.73,rabi,3,34.38,26.87,19.2,32.29,2.25,38.69,27.83,18.99,25.16,113.9,2,1183.8,-0.3,-0.87,170.99,107.85,140.52,6.0,0.723,1.398,1.0,3,0,0
38,Assam,2021-04-11,25.6865,91.925,maize,soybean,2021-04-11,2021-08-29,4.76,3.88,kharif,4,73.97,24.3,13.82,99.0,3.29,53.11,24.24,14.34,46.96,128.47,3,1080.69,-0.17,0.09,188.57,139.2,185.54,7.04,0.86,1.711,1.0,5,0,0
39,Rajasthan,2022-04-23,26.8514,76.1855,wheat,rice,2022-04-23,2022-08-28,3.54,2.21,zaid,4,0.0,32.64,25.33,39.32,2.86,0.0,32.93,26.93,0.0,0.0,6,1483.75,0.28,0.04,161.12,70.81,175.22,6.47,0.791,1.357,1.0,5,0,0
40,Haryana,2022-11-09,28.7899,75.3975,maize,sorghum,2022-11-09,2023-04-20,4.85,3.53,rabi,11,95.52,32.56,25.93,49.71,2.6,82.45,34.96,25.12,104.56,337.73,2,1520.22,-0.07,0.22,150.92,141.27,91.58,7.16,0.811,1.279,1.0,3,0,0
41,Odisha,2022-09-10,21.7165,85.6681,wheat,sorghum,2022-09-10,2022-12-15,3.93,6.16,rabi,9,44.99,34.79,26.81,94.82,2.69,37.89,35.45,27.14,20.31,118.78,0,1319.44,0.33,1.09,218.62,108.31,220.98,6.34,1.182,1.826,1.0,1,0,0
42,West Bengal,2022-01-15,22.8863,88.7975,maize,maize,2022-01-15,2022-07-14,5.37,2.61,kharif,1,174.73,25.68,20.8,77.63,2.74,171.91,26.75,20.96,131.6,618.9,1,1403.76,0.4,-0.84,261.28,112.53,148.51,6.57,1.107,1.741,1.0,0,0,0
43,Gujarat,2021-09-10,22.0556,71.6184,soybean,maize,2021-09-10,2021-12-15,3.88,1.79,kharif,9,93.36,31.08,25.67,55.14,3.59,119.34,31.38,25.44,48.13,338.72,1,1187.02,0.19,-0.48,335.12,172.12,147.0,6.37,0.86,2.181,1.0,4,0,0
44,Maharashtra,2022-07-14,19.0113,74.7757,wheat,cotton,2022-07-14,2022-10-27,2.85,2.49,rabi,7,183.44,26.96,18.3,64.78,2.59,232.48,26.64,18.02,144.09,366.64,3,1048.5,0.2,-0.16,175.8,152.77,152.94,5.95,0.595,1.605,1.0,1,0,0
45,Tamil Nadu,2021-08-15,11.0277,77.9256,soybean,mustard,2021-08-15,2021-12-12,2.45,1.36,kharif,8,126.03,29.8,23.04,99.0,3.35,109.82,29.55,22.83,78.87,477.79,1,986.38,0.25,-0.34,226.9,149.52,114.7,5.61,0.664,1.637,1.0,4,0,0
46,Haryana,2021-05-01,28.934,76.2767,sorghum,mustard,2021-05-01,2021-09-01,2.51,6.7,kharif,5,91.79,34.08,25.32,71.54,0.22,85.41,34.54,23.41,52.37,247.5,5,1265.36,-0.38,0.15,209.23,99.13,99.8,5.64,0.637,1.361,1.0,2,0,0
47,Odisha,2022-11-01,21.2048,85.0344,soybean,sorghum,2022-11-01,2023-02-23,2.67,1.83,rabi,11,36.43,30.49,22.0,65.98,4.12,43.21,31.98,22.56,14.85,69.93,4,1316.83,-0.16,0.74,159.62,184.01,205.4,6.48,0.446,1.83,1.0,4,0,0
48,Gujarat,2021-04-15,21.7948,71.1852,rice,maize,2021-04-15,2021-09-09,4.22,3.59,kharif,4,57.88,29.18,23.0,44.81,2.95,64.73,27.77,22.18,38.63,205.54,1,1157.82,0.95,0.32,231.28,138.58,140.03,6.01,0.424,1.7,1.0,4,0,0
49,Rajasthan,2021-02-09,27.1297,75.7506,mustard,sorghum,2021-02-09,2021-07-18,2.35,2.64,rabi,2,86.03,29.78,20.74,30.0,4.97,93.08,29.83,22.69,69.37,242.33,5,732.61,1.44,0.84,202.16,128.42,139.56,6.51,0.861,1.567,1.0,4,0,0
50,Madhya Pradesh,2021-07-27,23.3463,78.1866,soybean,sorghum,2021-07-27,2021-12-15,3.5,4.63,zaid,7,115.54,21.13,14.29,59.99,5.03,78.85,20.93,12.3,85.58,374.74,0,670.67,-0.87,0.24,238.28,67.68,180.35,7.63,1.061,1.621,1.0,1,0,0
51,Odisha,2022-04-01,21.4499,85.3009,rice,maize,2022-04-01,2022-07-24,5.29,1.38,rabi,4,181.97,22.29,12.44,89.61,4.13,220.96,23.81,11.49,84.26,284.08,0,924.19,0.71,-1.04,286.37,91.99,143.98,6.11,1.053,1.741,1.0,1,0,0
52,Bihar,2022-06-02,25.53,85.2884,maize,soybean,2022-06-02,2022-11-24,4.56,4.64,kharif,6,0.0,24.56,15.92,56.77,4.36,0.0,25.05,15.23,0.0,0.0,1,1465.15,0.45,-0.33,337.16,71.49,100.52,5.78,1.124,1.697,1.0,5,0,0
53,Gujarat,2021-01-21,22.0382,71.516,soybean,mustard,2021-01-21,2021-05-11,2.99,6.67,kharif,1,92.74,37.19,29.36,57.09,0.96,65.72,36.53,28.96,88.59,236.93,8,1126.49,0.24,0.64,233.96,189.05,214.05,6.39,1.079,2.124,1.0,0,0,0
54,Gujarat,2022-07-07,22.3818,71.6522,wheat,maize,2022-07-07,2022-12-16,3.48,3.98,kharif,7,89.24,36.14,26.87,53.11,2.58,103.49,35.75,26.14,105.86,251.98,8,1092.0,0.19,-1.13,161.73,89.0,131.96,6.56,1.325,1.276,1.0,2,0,0
55,Odisha,2021-11-04,20.9096,85.2447,soybean,maize,2021-11-04,2022-03-12,3.31,2.26,zaid,11,171.34,29.29,22.6,99.0,2.93,112.19,29.11,21.85,122.33,298.1,3,1437.7,-0.75,1.17,234.52,96.86,153.9,6.55,1.167,1.618,1.0,5,0,0
56,Haryana,2021-04-17,28.5036,76.1217,wheat,soybean,2021-04-17,2021-07-21,4.46,5.82,rabi,4,159.09,24.18,17.87,46.33,4.8,175.24,23.14,15.33,189.96,370.95,0,784.5,0.98,0.25,298.17,73.27,200.58,5.85,1.21,1.907,1.0,0,0,0
57,Bihar,2021-09-13,25.4594,85.6818,rice,sorghum,2021-09-13,2022-01-15,4.03,6.88,kharif,9,45.73,24.87,15.29,68.71,4.8,33.69,24.9,16.42,36.05,70.59,0,947.04,0.34,-0.19,135.85,154.16,158.94,6.77,0.488,1.497,1.0,3,0,0
58,Assam,2021-12-15,26.3264,91.3259,cotton,soybean,2021-12-15,2022-04-17,3.3,2.67,kharif,12,172.0,29.16,20.11,99.0,3.77,150.63,29.41,19.66,153.12,532.48,4,1253.48,-0.54,0.52,258.37,113.36,171.26,7.24,0.423,1.81,1.0,5,0,0
59,Gujarat,2022-02-02,22.6272,71.4326,wheat,mustard,2022-02-02,2022-07-24,3.72,2.81,kharif,2,178.52,33.03,25.0,38.92,0.2,163.72,33.38,23.17,117.15,491.46,6,1058.15,0.35,0.45,276.72,90.56,173.78,5.57,0.804,1.804,1.0,1,0,0
60,Uttar Pradesh,2022-10-28,27.2824,80.6412,sorghum,mustard,2022-10-28,2023-03-03,2.01,4.42,kharif,10,0.0,41.03,33.12,70.74,3.08,0.0,40.83,29.38,0.0,0.0,5,1333.81,-0.42,1.31,299.26,105.65,211.72,6.49,0.965,2.055,1.0,1,0,0
61,Madhya Pradesh,2021-05-31,23.3221,77.8885,sorghum,soybean,2021-05-31,2021-09-28,2.75,0.73,kharif,5,113.37,30.76,22.43,64.32,4.75,84.14,30.7,22.92,132.67,330.38,1,720.44,0.71,-0.69,253.32,150.64,132.83,7.83,0.381,1.789,1.0,3,0,0
62,Tamil Nadu,2022-11-18,11.1104,77.8188,mustard,mustard,2022-11-18,2023-05-13,1.81,5.57,kharif,11,0.0,23.91,15.15,82.49,3.56,0.0,22.89,14.32,0.0,0.0,0,891.49,0.26,0.69,192.23,166.69,164.28,6.31,1.171,1.744,1.0,4,0,0
63,Karnataka,2022-06-23,15.6573,76.2011,wheat,maize,2022-06-23,2022-10-02,3.35,3.61,rabi,6,225.73,31.79,23.99,63.11,5.07,193.29,31.44,23.78,164.05,377.4,4,1021.89,0.9,-1.28,236.1,164.46,170.16,6.91,0.947,1.902,1.0,4,1,1
64,Kerala,2021-08-08,10.6913,77.116,sorghum,sorghum,2021-08-08,2021-12-20,2.47,2.91,rabi,8,20.14,17.06,12.73,98.22,2.36,12.23,16.64,13.86,18.77,57.76,0,621.79,-0.08,-0.66,254.47,198.54,222.4,5.67,0.615,2.251,1.0,1,0,0
65,Gujarat,2021-06-01,22.4107,71.0349,rice,cotton,2021-06-01,2021-09-30,3.91,4.62,rabi,6,64.96,32.54,25.82,51.3,1.06,75.56,33.48,26.68,57.06,113.53,7,1218.92,0.17,0.72,199.01,78.83,153.85,5.86,0.939,1.439,1.0,4,0,0
66,Karnataka,2021-01-01,15.5511,75.5252,mustard,sorghum,2021-01-01,2021-05-09,2.21,4.87,kharif,1,50.47,38.95,30.14,85.55,3.56,46.18,40.06,27.86,56.24,123.28,6,1151.41,0.52,-0.03,163.41,120.79,170.63,7.29,0.827,1.516,1.0,3,0,0
67,Kerala,2021-05-09,10.6766,76.3081,soybean,maize,2021-05-09,2021-10-27,2.56,5.45,rabi,5,220.23,21.36,11.18,82.95,0.2,225.01,22.02,11.69,171.24,578.53,0,852.67,-0.17,-0.15,138.46,138.88,89.39,7.35,0.681,1.222,1.0,1,0,1
68,Karnataka,2022-10-18,15.5686,75.9682,rice,wheat,2022-10-18,2023-01-31,3.93,6.59,zaid,10,84.69,29.16,20.06,61.09,2.61,91.69,29.46,20.37,58.72,295.54,0,1354.11,0.17,0.63,196.82,147.3,151.64,6.51,1.269,1.652,1.0,3,0,0
69,Gujarat,2021-06-24,22.3215,71.8536,wheat,maize,2021-06-24,2021-10-23,2.97,6.15,kharif,6,68.16,28.41,17.85,38.45,3.03,55.29,27.59,17.03,34.32,126.96,3,1263.48,0.1,-0.22,204.38,189.62,109.68,5.53,0.957,1.679,1.0,4,0,0
70,Gujarat,2022-02-17,22.1707,71.5446,soybean,sorghum,2022-02-17,2022-07-30,2.93,4.8,zaid,2,46.62,24.96,18.11,33.87,3.45,49.57,26.39,16.57,44.19,132.84,0,1256.97,-0.29,-0.19,178.8,119.36,135.41,6.99,1.075,1.445,1.0,5,0,0
71,Uttar Pradesh,2021-05-01,27.1006,81.3184,maize,soybean,2021-05-01,2021-09-09,4.85,4.88,rabi,5,142.47,30.52,23.55,63.61,3.34,180.19,30.26,21.58,64.71,236.15,1,1029.59,0.62,-0.45,266.97,124.95,150.28,7.53,0.618,1.807,1.0,5,0,0
72,Assam,2021-08-26,26.4003,90.9974,rice,rice,2021-08-26,2021-12-22,3.65,3.95,rabi,8,89.57,24.12,14.9,99.0,0.38,102.4,23.99,14.57,59.07,336.01,1,856.55,0.11,-1.03,318.62,155.54,203.73,7.51,0.473,2.26,1.0,2,0,0
73,Tamil Nadu,2021-04-29,10.5348,77.708,sorghum,rice,2021-04-29,2021-08-27,3.16,4.37,rabi,4,0.0,22.92,13.2,83.15,4.21,0.0,23.56,13.02,0.0,0.0,0,1509.86,-0.11,0.92,284.83,132.04,167.04,5.84,1.162,1.946,1.0,1,0,0
74,Madhya Pradesh,2021-08-18,23.5441,79.1077,wheat,wheat,2021-08-18,2022-01-09,3.09,4.89,rabi,8,67.12,25.05,18.93,48.19,2.91,51.82,24.89,17.86,70.3,157.16,2,968.03,0.47,1.73,179.82,112.18,180.96,7.63,0.692,1.577,1.0,1,0,0
75,Gujarat,2021-10-04,22.6792,71.5449,maize,cotton,2021-10-04,2022-03-06,4.39,7.0,kharif,10,61.38,27.83,20.42,39.09,0.2,66.35,29.75,18.86,68.08,190.06,1,929.31,1.09,0.84,258.7,142.98,102.8,6.54,1.089,1.682,1.0,4,0,0
76,Tamil Nadu,2022-10-05,10.7569,77.9219,maize,sorghum,2022-10-05,2023-01-29,4.93,3.2,kharif,10,47.49,31.66,20.82,92.98,1.91,35.23,29.71,20.69,50.16,76.25,2,920.33,-0.09,0.21,334.61,183.04,148.82,6.5,1.17,2.222,1.0,2,0,0
77,Punjab,2022-11-29,30.2587,75.3174,rice,rice,2022-11-29,2023-05-03,3.66,0.97,zaid,11,105.03,37.27,28.21,65.87,2.55,130.18,37.35,26.94,43.88,396.14,8,1656.32,0.12,-1.09,231.58,197.0,87.46,6.97,1.147,1.72,1.0,5,0,0
78,Odisha,2022-07-27,20.7497,85.232,soybean,soybean,2022-07-27,2022-12-17,3.57,6.24,rabi,7,50.32,34.35,25.78,83.82,2.45,38.0,34.11,26.02,42.19,183.58,6,1386.31,-0.08,-1.37,246.17,198.72,197.31,7.13,0.827,2.141,1.0,1,1,0
79,Rajasthan,2021-07-24,26.934,75.4191,rice,sorghum,2021-07-24,2021-11-10,4.05,6.76,rabi,7,0.0,34.06,24.52,30.0,3.52,0.0,34.45,24.78,0.0,0.0,4,804.98,0.33,2.37,116.9,80.84,92.54,7.0,0.775,0.968,1.0,5,0,0
80,Maharashtra,2021-07-28,19.0207,74.5871,wheat,mustard,2021-07-28,2021-10-27,4.06,2.97,kharif,7,35.74,31.43,24.61,66.93,5.06,29.87,33.58,26.14,25.05,59.0,3,1003.26,0.34,1.33,310.26,190.84,136.23,7.9,0.775,2.124,1.0,5,0,0
81,Madhya Pradesh,2022-03-07,23.4131,78.3638,cotton,cotton,2022-03-07,2022-08-20,3.35,2.09,rabi,3,65.66,30.62,19.41,68.69,4.2,67.52,30.55,18.34,28.42,125.97,0,990.21,0.04,-0.96,176.32,106.1,89.67,7.79,0.635,1.24,1.0,5,0,0
82,Tamil Nadu,2022-06-08,11.227,78.433,wheat,rice,2022-06-08,2022-09-12,3.83,5.93,kharif,6,25.34,32.73,23.85,84.22,3.51,22.74,33.04,25.02,13.77,68.74,3,1435.42,0.87,1.24,283.25,176.84,207.99,5.88,0.375,2.227,1.0,2,0,0
83,Tamil Nadu,2021-04-08,10.5788,78.1805,rice,cotton,2021-04-08,2021-08-05,3.44,0.76,kharif,4,148.44,29.88,23.57,99.0,3.28,155.33,30.46,25.23,159.34,335.51,4,989.67,0.51,-0.97,282.72,81.99,130.33,7.49,0.844,1.65,1.0,5,0,0
84,West Bengal,2022-09-22,22.5391,88.105,rice,maize,2022-09-22,2023-01-09,3.44,1.02,kharif,9,20.03,32.31,23.02,95.9,2.48,15.36,32.41,23.17,17.43,59.57,3,1264.85,0.13,-0.04,186.57,141.25,197.89,7.08,0.833,1.752,1.0,5,0,0
85,Haryana,2021-08-09,29.5577,76.7115,wheat,soybean,2021-08-09,2021-11-07,3.72,6.91,rabi,8,96.49,38.01,32.69,54.79,2.08,70.39,37.94,34.28,55.66,190.56,7,1288.36,-0.32,0.36,231.5,94.26,131.94,6.52,0.716,1.526,1.0,1,0,0
86,Tamil Nadu,2021-09-06,11.3458,77.8231,soybean,maize,2021-09-06,2022-01-09,2.48,6.84,rabi,9,157.35,36.14,28.63,80.06,4.15,97.76,35.3,28.93,168.08,484.81,8,1178.52,-0.16,1.77,223.85,60.72,213.75,5.9,0.63,1.661,1.0,3,0,0
87,Maharashtra,2021-07-31,19.2105,75.2678,rice,soybean,2021-07-31,2022-01-10,3.85,2.02,rabi,7,116.16,27.9,20.25,99.0,2.15,74.18,27.3,20.29,71.36,304.42,2,1002.24,-0.87,0.43,219.59,118.28,206.54,6.42,0.774,1.815,1.0,4,0,0
88,Gujarat,2022-08-16,22.7016,71.1701,maize,cotton,2022-08-16,2023-02-12,4.25,6.6,kharif,8,20.74,31.74,24.05,33.24,3.49,26.33,30.67,22.0,21.06,40.86,5,1277.87,0.28,0.09,316.91,162.04,158.84,7.37,0.775,2.126,1.0,1,0,0
89,Punjab,2021-09-05,30.7294,75.152,maize,maize,2021-09-05,2021-12-15,3.53,5.38,rabi,9,121.44,33.94,28.85,47.38,2.63,89.0,34.83,28.83,117.2,384.23,3,1141.91,0.95,0.03,326.58,125.29,151.08,7.83,0.524,2.01,1.0,2,0,0
